epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1872.99,0.16049,1.68396,0.13618,0.15898,0.87435,1,1,0.995,0.96803,1,1,0.995,0.63649,0.29956,1.73096,0.133,0.21927,0.60188,0.0005942,0.0005942,0.0005942
73,1900.7,0.17545,1.6524,0.13397,0.16271,0.85379,1,1,0.995,0.96944,0.96667,0.96667,0.9514,0.56486,0.32182,1.9084,0.13884,0.2468,0.61289,0.0005744,0.0005744,0.0005744
74,1922.43,0.16915,1.69242,0.12735,0.16496,0.86595,1,1,0.995,0.96524,0.96667,0.96667,0.9524,0.58738,0.31526,1.85813,0.13067,0.24548,0.60744,0.0005546,0.0005546,0.0005546
75,1949.22,0.16786,1.74112,0.13546,0.16676,0.86558,1,1,0.995,0.981,0.9,0.9,0.8585,0.48064,0.30332,2.166,0.13748,0.24708,0.61204,0.0005348,0.0005348,0.0005348
76,1971.01,0.17629,1.67877,0.13411,0.1728,0.85406,1,1,0.995,0.965,1,1,0.995,0.61831,0.30891,1.71013,0.12673,0.23225,0.62528,0.000515,0.000515,0.000515
77,1996.12,0.16066,1.6869,0.13161,0.1663,0.856,0.99825,1,0.995,0.97058,0.99825,1,0.995,0.57608,0.3027,1.98026,0.14088,0.22473,0.60951,0.0004952,0.0004952,0.0004952
78,2024.06,0.15398,1.60181,0.12646,0.16117,0.85863,1,1,0.995,0.97104,1,1,0.995,0.63771,0.30719,1.81947,0.12819,0.22995,0.61102,0.0004754,0.0004754,0.0004754
79,2055.15,0.15794,1.72044,0.13162,0.16466,0.86718,1,1,0.995,0.97997,1,1,0.995,0.58779,0.29242,1.99612,0.13081,0.22766,0.60284,0.0004556,0.0004556,0.0004556
80,2080.68,0.15112,1.71707,0.1321,0.15372,0.87021,1,1,0.995,0.98135,1,1,0.995,0.67739,0.28552,1.63159,0.12457,0.23167,0.59487,0.0004358,0.0004358,0.0004358
81,2114.46,0.14995,1.59376,0.13444,0.15566,0.85896,1,1,0.995,0.9738,0.96667,0.96667,0.9534,0.60187,0.2874,1.85884,0.13169,0.23269,0.59061,0.000416,0.000416,0.000416
82,2139.67,0.14998,1.53079,0.12713,0.14823,0.86297,1,1,0.995,0.97699,1,1,0.995,0.67397,0.28721,1.62132,0.12706,0.22662,0.57965,0.0003962,0.0003962,0.0003962
83,2169.21,0.15196,1.56992,0.12577,0.14965,0.84871,1,1,0.995,0.99207,1,1,0.995,0.66113,0.25501,1.7302,0.13209,0.22084,0.55598,0.0003764,0.0003764,0.0003764
84,2196.57,0.14724,1.59862,0.12982,0.14674,0.85646,1,1,0.995,0.98614,1,1,0.995,0.69024,0.25857,1.52085,0.12549,0.2242,0.56808,0.0003566,0.0003566,0.0003566
85,2231.8,0.15198,1.56441,0.12888,0.148,0.85056,1,1,0.995,0.97753,1,1,0.995,0.6347,0.29195,1.74732,0.13097,0.23656,0.59611,0.0003368,0.0003368,0.0003368
86,2255.26,0.14533,1.49077,0.12971,0.14919,0.85535,1,1,0.995,0.95741,1,1,0.995,0.64545,0.30392,1.70563,0.1271,0.22741,0.60674,0.000317,0.000317,0.000317
87,2276.58,0.14723,1.47126,0.12296,0.14731,0.83698,1,1,0.995,0.97079,1,1,0.995,0.66407,0.28655,1.65802,0.12692,0.21742,0.59082,0.0002972,0.0002972,0.0002972
88,2307.05,0.15668,1.47185,0.13267,0.1504,0.87049,1,1,0.995,0.98489,1,1,0.995,0.66105,0.27583,1.67852,0.12712,0.23285,0.58515,0.0002774,0.0002774,0.0002774
89,2329.43,0.13828,1.44013,0.12416,0.14283,0.84888,1,1,0.995,0.96987,0.96667,0.96667,0.96907,0.69227,0.2826,1.72234,0.12602,0.23779,0.59008,0.0002576,0.0002576,0.0002576
90,2354.5,0.14509,1.49661,0.12466,0.14634,0.85009,1,1,0.995,0.97505,0.96667,0.96667,0.96473,0.65648,0.28844,1.75688,0.1275,0.2281,0.58155,0.0002378,0.0002378,0.0002378
91,2382.19,0.14196,1.53646,0.12948,0.14527,0.84478,1,1,0.995,0.97592,1,1,0.995,0.65854,0.28436,1.77614,0.12952,0.23176,0.5777,0.000218,0.000218,0.000218
92,2406.46,0.13668,1.5047,0.12113,0.13922,0.85974,1,1,0.995,0.97272,1,1,0.995,0.68504,0.28165,1.63296,0.12702,0.23958,0.57849,0.0001982,0.0001982,0.0001982
93,2428.25,0.14646,1.496,0.12756,0.1426,0.84325,1,1,0.995,0.97335,1,1,0.995,0.66883,0.27154,1.59823,0.12895,0.23009,0.57688,0.0001784,0.0001784,0.0001784
94,2456.42,0.13457,1.43936,0.12478,0.13639,0.84046,1,1,0.995,0.9738,1,1,0.995,0.65211,0.27305,1.64992,0.12798,0.21766,0.5734,0.0001586,0.0001586,0.0001586
95,2484.4,0.13299,1.44358,0.12593,0.13755,0.85393,1,1,0.995,0.97387,1,1,0.995,0.65929,0.27034,1.60016,0.12454,0.21628,0.57238,0.0001388,0.0001388,0.0001388
96,2507.74,0.13648,1.46328,0.1181,0.13458,0.87,1,1,0.995,0.97134,1,1,0.995,0.67124,0.27728,1.59953,0.1267,0.22416,0.58247,0.000119,0.000119,0.000119
97,2528.55,0.1338,1.51426,0.12629,0.13597,0.86131,1,1,0.995,0.97181,1,1,0.995,0.64975,0.27828,1.6558,0.12775,0.22889,0.58431,9.92e-05,9.92e-05,9.92e-05
98,2557.5,0.13845,1.4713,0.13369,0.1396,0.84704,1,1,0.995,0.96691,1,1,0.995,0.65334,0.27936,1.61392,0.12775,0.23013,0.58319,7.94e-05,7.94e-05,7.94e-05
99,2585.02,0.14029,1.47255,0.12148,0.13331,0.86912,1,1,0.995,0.97026,1,1,0.995,0.67196,0.27586,1.57057,0.12716,0.22664,0.57928,5.96e-05,5.96e-05,5.96e-05
100,2617.1,0.12836,1.4904,0.12627,0.13367,0.85179,1,1,0.995,0.96911,1,1,0.995,0.6915,0.27711,1.55712,0.12708,0.21928,0.58224,3.98e-05,3.98e-05,3.98e-05
